alim_nom_fr;Energie, R�glement UE N� 1169/2011 (kJ/100 g);Energie, R�glement UE N� 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Prot�ines, N x facteur de Jones (g/100 g);Prot�ines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG satur�s (g/100 g);AG monoinsatur�s (g/100 g);AG polyinsatur�s (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, capro�que (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, st�arique (g/100 g);AG 18:1 9c (n-9), ol�ique (g/100 g);AG 18:2 9c,12c (n-6), linol�ique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linol�nique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholest�rol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (�g/100 g);Magn�sium (mg/100 g);Mangan�se (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);S�l�nium (�g/100 g);Sodium (mg/100 g);Zinc (mg/100 g);R�tinol (�g/100 g);Beta-Carot�ne (�g/100 g);Vitamine D (�g/100 g);Vitamine E (mg/100 g);Vitamine K1 (�g/100 g);Vitamine K2 (�g/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantoth�nique (mg/100 g);Vitamine B6 (mg/100 g);Vitamine B9 ou Folates totaux (�g/100 g);Vitamine B12 (�g/100 g)
Nectar de papaye;-;-;-;-;85;0,17;0,17;13,9;0,15;13,9;-;-;-;-;-;-;-;0,6;-;0,15;0;-;0,047;0,041;0,035;0;0;0;0;0,002;0,008;0,035;0,002;-;-;-;-;0;0;0;0,013;10;-;0,013;0,34;-;3;0,013;0;31;-;5;0,15;0;91;0;0,24;0,8;-;3;0,006;0,004;0,15;0,054;0,009;2;0
Nectar de poire;-;-;-;-;84;0,19;0,19;14,8;0,043;11,4;-;-;-;-;-;-;0;0,45;-;0,1;0;0,4;0,001;0,003;0,003;0;0;0;0;0;0;0,001;0;-;-;-;-;0;0;0;0,0033;5;-;0,067;0,26;0,7;3;0,03;3;13;-;1,3;0,07;0;1;0;0,05;1,8;-;1,1;0,002;0,013;0,13;0,022;0,014;1;0
Nectar multifruit, multivitamin�;-;-;-;-;87,4;0,24;0,24;11,3;0,1;10,9;2,3;-;2,1;0,2;0,2;5,6;0;0,15;-;0,18;0;-;0,0067;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,016;3,1;60;0,1;0,2;1;5,4;0,1;10;79,1;0,3;6,36;0,1;0;267;0,5;1,05;-;-;16;0,14;0,2;1,63;0,62;0,22;22,9;0
Nectar multifruit, standard;211;49,7;211;49,7;87,2;0,3;0,3;11,5;0,089;11;4,76;-;3,55;-;-;2,71;0;0,3;0;0,2;0;0,38;0,013;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,009;9,17;-;0,05;0;10;5,35;0,05;6,17;87,4;0,3;3,43;0;120;26,1;0;0,97;-;-;20,6;0,095;0,025;1,09;0,6;0,14;22,1;0
Nectar multifruit - base orange, multivitamin�;-;-;-;-;88,1;0,4;0,4;11,1;0,1;10,3;2,75;-;2,65;0,5;0,5;4,85;-;0,5;-;0,22;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6,3;-;-;85,7;-;-;-;-;427;-;-;-;-;36,2;-;-;1,64;-;-;23;-
Nectar multifruit - base orange, standard;-;-;-;-;87,4;0,3;0,3;12,2;0,12;10,8;2,2;-;3,1;0,5;0,5;5,3;-;0,5;-;0,17;0;-;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,025;-;-;-;-;-;6,7;-;-;86,8;-;10;-;-;110;-;-;-;-;13,2;-;-;0,21;-;-;13,8;-
Nectar, avec �dulcorants, all�g� en sucres;-;-;-;-;-;0,18;0,18;5,47;0,037;5,25;-;-;-;-;-;-;-;0,11;-;0,0087;0;-;0,0067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0087;-;-;-;-;-;-;-;-;-;-;3,48;-;-;-;-;1,5;-;-;10,8;0,21;0,24;2,7;0,9;0,3;30;-
Nectar de pomme;-;-;-;-;90,2;0,14;0,14;10,9;0,075;10,6;3,87;-;2,38;0,5;0,5;3,39;-;0,1;-;0,13;0;-;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,01;4,9;-;-;-;-;3,94;-;4,33;64,9;-;4;-;-;-;-;-;-;-;-;-;-;0,08;-;-;12,2;-
Nectar de fruit de la passion ou maracuja;-;-;-;-;85,5;0,3;0,3;15,2;0,1;13;-;-;-;-;-;-;-;0;-;0,2;0;1,7;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,025;1,7;-;0,02;-;1,1;3,8;-;-;72,8;0,1;3;0,02;-;100;-;0;-;-;17,4;-;-;-;0,05;0,02;3;-
Nectar de banane;-;-;-;-;86,7;0,23;0,23;13,6;0,048;12,6;1,89;-;2,03;0,15;0,15;8,66;0,35;0,51;-;0,17;0;-;0,03;-;-;0,006;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0046;5,8;19;0,02;0,07;20;8;0,06;5,7;91;20;1,82;0,05;-;6,95;-;-;0,8;-;11,6;0,013;0,01;1,24;0,053;0,059;14,8;-
